  date	amount
1/6/21	1
1/6/21	50
1/6/21	49
1/6/21	49
1/6/21	48.48
1/6/21	48
1/6/21	48
1/6/21	5
1/6/21	4.5
1/6/21	175.46
1/6/21	7
1/6/21	287.66
1/6/21	60.6
1/6/21	60
1/6/21	59.1
1/6/21	1
1/7/21	10
1/7/21	9
1/7/21	9
1/7/21	0.66
1/7/21	10
1/7/21	5
1/7/21	5
1/7/21	10
1/7/21	10
1/7/21	10
1/7/21	1.5
1/7/21	1.9
1/7/21	184.61
1/7/21	181.8
1/7/21	180
1/7/21	175
1/7/21	2
1/7/21	6
1/7/21	5.5
1/7/21	46.46
1/7/21	46.46
1/7/21	46
1/7/21	45
1/7/21	19
1/7/21	19
1/7/21	0.02
1/7/21	100
1/7/21	5.87
1/7/21	6
1/7/21	12.01
1/7/21	12
1/7/21	12.78
1/7/21	13
1/7/21	0.02
1/8/21	0.02
1/8/21	19.19
1/8/21	19
1/8/21	307.3
1/8/21	15.15
1/8/21	15
1/8/21	14
1/8/21	1
1/8/21	1
1/8/21	50
1/8/21	2
1/8/21	2
1/8/21	2
1/8/21	30
1/8/21	0.96
1/8/21	1.99
1/8/21	198.61
1/8/21	198
1/8/21	198
1/8/21	50
1/8/21	50
1/8/21	50
1/8/21	49
1/8/21	50
1/8/21	50
1/8/21	500
1/8/21	495
1/8/21	495
1/8/21	20
1/8/21	5
1/8/21	3
1/8/21	2
1/8/21	2
1/8/21	2.4
1/8/21	10
1/8/21	12
1/8/21	12
1/8/21	194.23
1/8/21	194.93
1/8/21	193
1/8/21	190
1/8/21	100
1/8/21	98
1/8/21	98
1/9/21	4
1/9/21	14.14
1/9/21	14
1/9/21	13
1/9/21	22
1/9/21	26.55
1/9/21	25.5
1/9/21	0.2
1/9/21	0.2
1/9/21	5
1/9/21	4.95
1/9/21	4.95
1/9/21	10.1
1/9/21	10
1/9/21	9.86
1/9/21	300
1/9/21	297
1/9/21	297
1/9/21	21.5
1/9/21	21.5
1/9/21	21.3
1/9/21	20.98
1/9/21	99.3
1/9/21	19.55
1/9/21	101
1/9/21	50
1/9/21	50
1/9/21	1.01
1/9/21	1
1/9/21	198.61
1/10/21	40
1/10/21	39
1/10/21	93.84
1/10/21	1
1/10/21	1
1/10/21	90
1/10/21	90
1/10/21	1
1/10/21	1
1/10/21	178.73
1/10/21	176
1/10/21	97.83
1/11/21	200
1/11/21	10
1/11/21	50
1/11/21	5
1/11/21	5
1/11/21	50
1/11/21	50
1/11/21	10
1/11/21	9.98
1/11/21	9.98
1/11/21	10
1/11/21	5
1/11/21	4
1/11/21	40.4
1/11/21	40
1/11/21	25
1/11/21	25
1/11/21	30
1/11/21	30
1/11/21	9.85
1/11/21	5.96
1/11/21	5.9
1/11/21	5.9
1/11/21	790.96
1/11/21	800
1/11/21	25
1/11/21	25
1/11/21	10
1/11/21	11
1/11/21	11
1/11/21	101
1/11/21	100
1/11/21	100
1/11/21	25
1/11/21	25
1/11/21	3
1/11/21	2147.02
1/11/21	2110
1/11/21	2100
1/11/21	2000
1/11/21	90
1/11/21	20.2
1/11/21	20
1/11/21	19
1/11/21	5.05
1/11/21	5
1/11/21	5
1/11/21	98
1/11/21	10
1/12/21	1.01
1/12/21	1
1/12/21	200
1/12/21	10.1
1/12/21	10
1/12/21	9
1/12/21	1
1/12/21	1
1/12/21	1
1/12/21	1
1/12/21	0.99
1/12/21	3
1/12/21	2
1/12/21	2
1/12/21	9.93
1/12/21	7.5
1/12/21	7.4
1/12/21	3.03
1/12/21	3
1/12/21	3
1/12/21	19.86
1/13/21	2
1/13/21	2
1/13/21	97.84
1/13/21	5
1/13/21	5
1/13/21	20
1/13/21	20
1/13/21	29.66
1/13/21	29.22
1/13/21	5.5
1/13/21	5.5
1/13/21	40
1/13/21	20
1/13/21	2.02
1/13/21	2
1/13/21	150
1/13/21	148
1/13/21	148
1/13/21	50
1/13/21	49
1/13/21	49
1/13/21	0.99
1/13/21	2
1/13/21	22
1/13/21	21.67
1/13/21	0.99
1/13/21	1
1/13/21	1
1/13/21	1
1/13/21	4
1/13/21	32
1/13/21	12
1/13/21	11
1/13/21	300
1/13/21	297
1/13/21	297
1/13/21	297.95
1/13/21	295
1/13/21	292
1/13/21	1
1/13/21	403
1/13/21	399
1/13/21	399
1/13/21	20
1/13/21	19
1/13/21	19
1/13/21	2
1/13/21	4
1/13/21	2
1/14/21	1.01
1/14/21	1
1/14/21	2
1/14/21	72.72
1/14/21	72
1/14/21	71.22
1/14/21	1.01
1/14/21	1
1/14/21	19.5
1/14/21	6
1/14/21	2
1/14/21	2
1/14/21	2
1/14/21	6
1/14/21	2
1/14/21	2
1/14/21	27
1/14/21	25
1/14/21	1
1/14/21	1
1/14/21	1
1/14/21	4
1/14/21	100
1/14/21	2
1/14/21	1
1/14/21	1
1/14/21	1
1/14/21	2
1/14/21	44
1/14/21	2
1/14/21	2.22
1/14/21	2.2
1/14/21	10.1
1/14/21	10
1/14/21	1.01
1/14/21	1
1/14/21	2.02
1/14/21	2
1/14/21	2.96
1/14/21	10.1
1/14/21	10
1/14/21	1
1/14/21	44
1/14/21	2
1/14/21	3
1/14/21	2
1/14/21	2
1/14/21	39.72
1/15/21	90
1/15/21	1
1/15/21	397
1/15/21	393
1/15/21	393
1/15/21	139.64
1/15/21	9.93
1/15/21	147.34
1/15/21	1
1/15/21	1
1/15/21	40
1/15/21	2.52
1/15/21	2.5
1/15/21	10
1/15/21	9.55
1/15/21	1.7
1/15/21	1.7
1/15/21	20
1/15/21	10
1/15/21	9.9
1/15/21	9.9
1/15/21	11
1/15/21	10
1/15/21	1.52
1/15/21	1.5
1/15/21	3
1/15/21	101
1/15/21	100
1/15/21	100
1/15/21	1
1/15/21	2
1/15/21	40.29
1/15/21	4.83
1/15/21	1
1/15/21	1
1/15/21	2
1/15/21	1
1/15/21	60
1/15/21	0.5
1/15/21	90.9
1/15/21	90
1/15/21	88.69
1/16/21	1
1/16/21	10.07
1/16/21	2
1/16/21	2
1/16/21	179.78
1/16/21	178
1/16/21	4.04
1/16/21	4
1/16/21	1
1/16/21	1
1/16/21	5.5
1/16/21	5
1/16/21	175.36
1/16/21	506.96
1/16/21	707
1/16/21	700
1/16/21	40.4
1/16/21	40
1/16/21	700
1/16/21	30
1/16/21	5.05
1/16/21	5
1/16/21	5
1/16/21	1.01
1/16/21	1
1/16/21	1
1/16/21	573.21
1/16/21	4
1/16/21	1
1/17/21	15
1/17/21	2
1/17/21	98.5
1/17/21	8.06
1/17/21	7.5
1/17/21	7.5
1/17/21	0.5
1/17/21	0.5
1/17/21	0.01
1/17/21	0.01
1/17/21	0.01
1/17/21	0.01
1/17/21	0.01
1/17/21	0.01
1/17/21	0.01
1/17/21	0.01
1/17/21	0.01
1/17/21	0.01
1/17/21	10.07
1/17/21	9.98
1/17/21	9.98
1/17/21	0.01
1/17/21	0.01
1/17/21	1.21
1/17/21	1
1/17/21	1
1/17/21	40.29
1/17/21	303.8
1/17/21	299
1/18/21	30.99
1/18/21	31.42
1/18/21	3
1/18/21	9.92
1/18/21	3
1/18/21	2
1/18/21	3
1/18/21	375.72
1/18/21	372
1/18/21	7.91
1/18/21	7.9
1/18/21	7.82
1/18/21	7.7
1/18/21	2.5
1/18/21	1
1/18/21	1.2
1/18/21	366.44
1/18/21	2
1/18/21	2
1/18/21	15.15
1/18/21	15
1/18/21	15
1/18/21	2
1/18/21	2
1/18/21	1
1/18/21	1
1/18/21	1
1/18/21	1
1/18/21	361.04
1/18/21	1.62
1/18/21	1.6
1/19/21	1.24
1/19/21	30
1/19/21	57
1/19/21	1.5
1/19/21	1
1/19/21	1
1/19/21	373.61
1/19/21	747.4
1/19/21	740
1/19/21	44.44
1/19/21	44
1/19/21	30
1/19/21	30
1/19/21	30.3
1/19/21	30
1/19/21	13
1/19/21	30
1/19/21	30
1/19/21	729
1/19/21	0.9
1/19/21	1
1/19/21	1
1/20/21	1.6
1/20/21	1.6
1/20/21	30
1/20/21	4.03
1/20/21	2
1/20/21	2
1/20/21	40.29
1/20/21	40.29
1/20/21	20.14
1/20/21	500
1/20/21	495
1/20/21	495
1/20/21	100
1/20/21	99
1/20/21	99
1/20/21	1
1/20/21	1
1/20/21	4
1/20/21	4
1/20/21	1
1/21/21	6.59
1/21/21	195
1/21/21	0.9
1/21/21	9.86
1/21/21	262.83
1/21/21	2
1/21/21	2
1/21/21	333.3
1/21/21	330
1/21/21	2
1/21/21	2
1/21/21	1
